Timestamp,BodyTemp_Mean,BodyTemp_Min,BodyTemp_Max,T1_Mean,T1_Min,T1_Max,TH_Mean,TH_Min,TH_Max
2025-08-07 12:30:20,34.37,34.3,34.5,32.69,32.58,32.91,32.32,32.23,32.43
2025-08-07 12:30:40,34.25,34.1,34.4,32.93,32.71,33.2,32.6,32.4,32.74
2025-08-07 12:31:00,34.29,34.1,34.5,33.25,32.98,33.47,32.86,32.66,33.17
2025-08-07 12:31:20,34.3,34.1,34.4,33.56,33.4,33.76,33.17,33.09,33.25
2025-08-07 12:31:40,34.29,34.1,34.5,33.84,33.68,34.0,33.39,33.26,33.52
2025-08-07 12:32:00,34.3,34.2,34.5,34.13,33.91,34.38,33.74,33.51,33.92
2025-08-07 12:32:20,34.31,34.1,34.5,34.4,34.22,34.69,34.11,33.93,34.24
2025-08-07 12:32:40,34.28,34.1,34.5,34.68,34.5,34.97,34.36,34.27,34.48
2025-08-07 12:33:00,34.32,34.2,34.5,34.87,34.65,35.04,34.48,34.38,34.55
2025-08-07 12:33:20,34.3,34.2,34.5,35.08,34.9,35.23,34.54,34.42,34.62
2025-08-07 12:33:40,34.3,34.1,34.4,35.24,35.01,35.35,34.77,34.56,35.04
2025-08-07 12:34:00,34.32,34.1,34.5,35.37,35.18,35.58,34.87,34.75,35.01
2025-08-07 12:34:20,34.3,34.1,34.5,35.47,35.36,35.67,34.73,34.58,34.85
2025-08-07 12:34:40,34.29,34.1,34.5,35.53,35.44,35.7,34.37,34.05,34.59
2025-08-07 12:35:00,34.31,34.1,34.5,35.6,35.47,35.74,34.07,33.97,34.18
2025-08-07 12:35:20,34.31,34.2,34.4,35.64,35.56,35.8,33.88,33.78,34.01
2025-08-07 12:35:40,34.34,34.2,34.5,35.7,35.52,35.84,33.91,33.77,34.03
2025-08-07 12:36:00,34.26,34.2,34.4,35.79,35.66,35.88,34.04,33.94,34.14
2025-08-07 12:36:20,34.32,34.2,34.5,35.9,35.79,36.08,34.16,34.04,34.28
2025-08-07 12:36:40,34.3,34.1,34.5,36.06,35.9,36.23,34.27,34.18,34.36
2025-08-07 12:37:00,34.29,34.1,34.5,36.15,36.05,36.3,34.41,34.29,34.57
2025-08-07 12:37:20,34.35,34.1,34.5,36.26,36.17,36.35,34.49,34.4,34.58
2025-08-07 12:37:40,34.26,34.1,34.5,36.31,36.23,36.45,34.61,34.52,34.73
2025-08-07 12:38:00,34.29,34.2,34.5,36.45,36.32,36.61,34.75,34.66,34.83
2025-08-07 12:38:20,34.29,34.1,34.5,36.57,36.38,36.77,34.87,34.76,35.02
2025-08-07 12:38:40,34.3,34.2,34.5,36.63,36.47,36.75,34.96,34.87,35.07
2025-08-07 12:39:00,34.26,34.1,34.4,36.72,36.57,36.82,35.06,34.96,35.15
2025-08-07 12:39:20,34.28,34.1,34.4,36.78,36.63,36.92,35.07,34.99,35.15
2025-08-07 12:39:40,34.3,34.1,34.5,36.82,36.67,36.97,35.22,35.04,35.36
2025-08-07 12:40:00,34.33,34.1,34.5,36.73,36.52,37.04,34.41,33.75,35.35
2025-08-07 12:40:20,34.28,34.2,34.4,36.55,36.47,36.65,33.7,33.52,33.9
