Timestamp,Mean_Rate,Min_Rate,Max_Rate
2025-07-26 11:42:40,90.88,88.94,92.06
2025-07-26 11:42:48,89.2,84.78,93.75
2025-07-26 11:42:56,85.36,80.54,90.91
2025-07-26 11:43:04,84.4,78.95,89.55
2025-07-26 11:43:12,89.34,83.61,93.75
2025-07-26 11:43:20,88.96,84.51,94.49
2025-07-26 11:43:28,87.74,83.33,92.26
2025-07-26 11:43:36,84.49,77.42,89.55
2025-07-26 11:43:44,85.39,77.45,92.31
2025-07-26 11:43:52,87.99,83.33,93.75
2025-07-26 11:44:00,88.26,84.51,93.62
2025-07-26 11:44:08,89.55,83.42,95.24
2025-07-26 11:44:16,88.53,83.33,92.31
2025-07-26 11:44:24,89.08,83.81,93.02
2025-07-26 11:44:32,87.33,81.08,93.02
2025-07-26 11:44:40,89.52,85.11,95.24
2025-07-26 11:44:48,91.38,88.89,94.49
2025-07-26 11:44:56,92.41,90.23,94.49
2025-07-26 11:45:04,91.42,87.59,95.24
2025-07-26 11:45:12,94.42,91.26,97.56
2025-07-26 11:45:20,91.18,88.89,94.49
2025-07-26 11:45:28,93.26,88.89,99.17
2025-07-26 11:45:36,95.53,92.52,98.36
2025-07-26 11:45:44,90.89,88.24,94.49
2025-07-26 11:45:52,90.69,86.33,95.24
2025-07-26 11:46:00,90.0,86.33,96.0
2025-07-26 11:46:08,92.08,86.33,96.0
2025-07-26 11:46:16,92.43,87.59,96.0
2025-07-26 11:46:24,93.17,87.83,98.36
2025-07-26 11:46:32,99.37,95.24,109.09
2025-07-26 11:46:40,98.11,92.31,102.7
2025-07-26 11:46:48,100.2,95.24,105.26
2025-07-26 11:46:56,100.02,93.75,105.26
2025-07-26 11:47:04,98.06,96.0,100.0
2025-07-26 11:47:12,101.29,96.77,109.09
2025-07-26 11:47:20,99.68,94.49,102.56
2025-07-26 11:47:28,96.17,92.31,101.95
2025-07-26 11:47:36,98.26,93.75,102.56
2025-07-26 11:47:44,96.18,95.24,97.75
