Timestamp,Mean_Rate,Min_Rate,Max_Rate
2025-07-26 11:42:44,90.88,88.94,92.06
2025-07-26 11:42:48,88.5,85.71,93.75
2025-07-26 11:42:52,89.9,84.78,93.02
2025-07-26 11:42:56,83.31,80.54,86.96
2025-07-26 11:43:00,87.41,85.11,90.91
2025-07-26 11:43:04,85.15,81.6,89.55
2025-07-26 11:43:08,83.65,78.95,88.24
2025-07-26 11:43:12,87.03,83.61,92.02
2025-07-26 11:43:16,91.64,87.64,93.75
2025-07-26 11:43:20,87.19,84.51,90.23
2025-07-26 11:43:24,90.73,87.59,94.49
2025-07-26 11:43:28,88.0,83.33,92.26
2025-07-26 11:43:32,87.48,83.69,91.6
2025-07-26 11:43:36,85.22,81.08,89.55
2025-07-26 11:43:40,83.77,77.42,89.55
2025-07-26 11:43:44,81.28,77.45,85.11
2025-07-26 11:43:48,89.51,81.97,92.31
2025-07-26 11:43:52,87.85,84.51,91.6
2025-07-26 11:43:56,88.14,83.33,93.75
2025-07-26 11:44:00,89.15,85.11,93.62
2025-07-26 11:44:04,87.37,84.51,90.91
2025-07-26 11:44:08,90.18,86.33,95.24
2025-07-26 11:44:12,88.92,83.42,91.6
2025-07-26 11:44:16,88.22,83.33,90.23
2025-07-26 11:44:20,88.83,85.71,92.31
2025-07-26 11:44:24,88.02,85.11,91.6
2025-07-26 11:44:28,90.14,83.81,93.02
2025-07-26 11:44:32,84.94,81.08,88.24
2025-07-26 11:44:36,89.71,85.76,93.02
2025-07-26 11:44:40,88.04,85.11,90.91
2025-07-26 11:44:44,91.01,88.24,95.24
2025-07-26 11:44:48,91.33,89.31,93.59
2025-07-26 11:44:52,91.43,88.89,94.49
2025-07-26 11:44:56,93.19,90.91,94.49
2025-07-26 11:45:00,91.63,90.23,94.49
2025-07-26 11:45:04,90.67,87.59,93.75
2025-07-26 11:45:08,92.18,88.42,95.24
2025-07-26 11:45:12,94.66,91.6,97.56
2025-07-26 11:45:16,94.17,91.26,97.5
2025-07-26 11:45:20,90.79,88.89,93.75
2025-07-26 11:45:24,91.56,88.89,94.49
2025-07-26 11:45:28,95.47,88.89,99.17
2025-07-26 11:45:32,91.06,88.89,93.75
2025-07-26 11:45:36,95.38,92.52,98.36
2025-07-26 11:45:40,95.68,93.38,98.36
2025-07-26 11:45:44,89.9,88.24,93.37
2025-07-26 11:45:48,91.88,88.81,94.49
2025-07-26 11:45:52,91.42,88.24,95.24
2025-07-26 11:45:56,89.97,86.33,94.49
2025-07-26 11:46:00,93.02,88.39,96.0
2025-07-26 11:46:04,86.99,86.33,89.55
2025-07-26 11:46:08,90.09,86.33,93.75
2025-07-26 11:46:12,94.06,91.64,96.0
2025-07-26 11:46:16,94.4,90.33,96.0
2025-07-26 11:46:20,90.45,87.59,93.75
2025-07-26 11:46:24,91.18,87.83,94.27
2025-07-26 11:46:28,95.15,93.02,98.36
2025-07-26 11:46:32,97.73,95.24,100.84
2025-07-26 11:46:36,101.01,95.24,109.09
2025-07-26 11:46:40,96.43,92.31,99.17
2025-07-26 11:46:44,99.79,96.77,102.7
2025-07-26 11:46:48,103.24,100.84,105.26
2025-07-26 11:46:52,97.16,95.24,100.84
2025-07-26 11:46:56,99.96,93.75,105.26
2025-07-26 11:47:00,100.08,97.56,104.35
2025-07-26 11:47:04,97.54,96.2,98.36
2025-07-26 11:47:08,98.58,96.0,100.0
2025-07-26 11:47:12,100.85,96.77,105.26
2025-07-26 11:47:16,101.72,97.56,109.09
2025-07-26 11:47:20,101.28,97.56,102.56
2025-07-26 11:47:24,98.08,94.49,102.31
2025-07-26 11:47:28,94.12,92.31,95.24
2025-07-26 11:47:32,98.21,93.92,101.95
2025-07-26 11:47:36,98.15,94.49,102.56
2025-07-26 11:47:40,98.37,93.75,101.69
2025-07-26 11:47:44,96.18,95.24,97.75
